timestamp,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,inboundMessageCount,pendingMessageCount,producerCount,consumerCount,topicCount,queueCount,connectionCount,sessionCount,msgMem,diskWriteRate,syncDBSize,durableCount,diskReadRate,asyncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,outboundBytesRate,diskWriteOperationsRate,RespTime
Sun Nov 23 19:07:40 172 IST 2025,0,0,8,0,9,0,2,2,1,7,2,2,15340,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:08:10 207 IST 2025,0,0,12,0,13,0,2,4,3,7,3,3,20004,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:08:40 217 IST 2025,0,0,16,0,17,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:09:10 228 IST 2025,0,0,18,0,19,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:09:40 235 IST 2025,0,0,20,0,21,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:10:10 253 IST 2025,0,0,22,0,23,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:10:40 271 IST 2025,0,0,24,0,25,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:11:10 287 IST 2025,0,0,28,0,29,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:11:40 296 IST 2025,0,0,30,0,31,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:12:10 304 IST 2025,0,0,32,0,33,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:12:40 318 IST 2025,0,0,34,0,35,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:13:10 326 IST 2025,0,0,36,0,37,0,1,3,3,6,2,2,15341,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:13:40 334 IST 2025,0,0,39,0,40,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:14:10 343 IST 2025,0,0,42,0,43,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:14:40 350 IST 2025,0,0,44,0,45,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:15:10 357 IST 2025,0,0,46,0,47,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:15:40 380 IST 2025,0,0,50,0,51,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:16:10 390 IST 2025,0,0,53,0,54,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:16:40 405 IST 2025,0,0,55,0,56,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:17:10 411 IST 2025,0,0,57,0,58,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:17:40 416 IST 2025,0,0,59,0,60,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:18:10 432 IST 2025,0,0,62,0,63,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,2
Sun Nov 23 19:18:40 452 IST 2025,0,0,64,0,65,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,3
Sun Nov 23 19:19:10 468 IST 2025,0,0,66,0,67,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,1
Sun Nov 23 19:19:40 474 IST 2025,0,0,68,0,69,0,2,4,3,7,3,3,20005,0,2048,0,0,3072,53248,0,0,0,0,0,1
